date,portfolio_id,p05,p25,median,p75,p95
2026-08-31 00:00:00.000000000,Balanced,379817.3941189332,379817.3941189332,379817.3941189332,379817.3941189332,379817.3941189332
2026-09-01 10:46:51.428571428,Balanced,374874.0909764887,378418.13805134007,380236.50443395786,382072.87311977,385089.08522448584
2026-09-02 21:33:42.857142857,Balanced,372979.09339956765,377991.98025736667,380536.25652977853,382984.8820541674,387704.1513903285
2026-09-04 08:20:34.285714285,Balanced,371624.7524375387,377750.0696698364,380813.31793826865,383817.6941361624,389040.4596213755
2026-09-05 19:07:25.714285714,Balanced,370739.3000716564,377417.2129086172,381314.6626403342,384603.87359719875,391181.65344892134
2026-09-07 05:54:17.142857142,Balanced,369437.0224896239,377423.55071429664,381370.7134298284,385355.4820553415,392411.19445256906
2026-09-08 16:41:08.571428571,Balanced,368784.52756345883,377418.6019006918,381845.85162925994,386053.8922239567,392881.2132091183
2026-09-10 03:28:00.000000000,Balanced,367314.43606767134,377498.8485152015,382125.4660798449,386845.845228809,393993.46621572936
2026-09-11 14:14:51.428571428,Balanced,366657.15106978023,377451.9653924754,382490.56440859725,387280.5413584516,395143.240709821
2026-09-13 01:01:42.857142857,Balanced,366070.8095778535,377603.1288075972,382746.4460186797,387820.3142580993,396360.1316227616
2026-09-14 11:48:34.285714285,Balanced,364923.7799732896,377547.1598916059,383144.11732066737,388712.2918597384,397404.3187527601
2026-09-15 22:35:25.714285714,Balanced,363892.7431900085,377452.3065350328,383589.36946577346,389090.5296158266,398588.21304569015
2026-09-17 09:22:17.142857143,Balanced,363771.0278912024,377116.8752523181,383593.13707866764,390028.6372379359,400008.908575564
2026-09-18 20:09:08.571428571,Balanced,363038.6871736643,377090.91061506036,384034.3340059469,390705.11329911626,400583.18305184745
2026-09-20 06:56:00.000000000,Balanced,362727.3107206199,377024.1826104058,384326.8991440732,391215.88806166593,401170.0732349248
2026-09-21 17:42:51.428571428,Balanced,362425.2699310001,377199.97906760767,384433.79392631946,391873.6011194448,402311.1625986626
2026-09-23 04:29:42.857142857,Balanced,361914.84837440116,377195.1570354868,384822.23104594054,392427.9568780203,403179.52255190775
2026-09-24 15:16:34.285714285,Balanced,362237.94444244105,377105.32000799145,385221.72446807835,392760.01304583927,403796.2618507443
2026-09-26 02:03:25.714285714,Balanced,362801.37546000676,376785.8246011861,385461.4829410355,393415.28132224793,404620.3870585318
2026-09-27 12:50:17.142857143,Balanced,362066.2014177112,376774.82932356204,385630.60952727497,393956.3634556314,406356.2483691101
2026-09-28 23:37:08.571428571,Balanced,361782.438517056,376785.2426366303,385872.51680719596,394382.44476013054,406147.1486216919
2026-09-30 10:24:00.000000000,Balanced,361196.6131097788,376465.4473921968,386284.98230061587,394823.51893572207,407569.2190698212
2026-10-01 21:10:51.428571428,Balanced,360466.1713063609,376717.3455542581,386411.4468584338,395216.5908638726,408699.72234296484
2026-10-03 07:57:42.857142857,Balanced,360036.2286611737,376725.2196841776,386789.37158083543,396021.34188307135,409565.919726333
2026-10-04 18:44:34.285714286,Balanced,359987.9717677031,376749.12791747367,387135.16007083456,396538.76735337474,410228.92644984677
2026-10-06 05:31:25.714285714,Balanced,359315.9183428912,376940.9137161878,387069.9265288762,397291.21023856994,411634.7575964507
2026-10-07 16:18:17.142857143,Balanced,359127.3600684148,376973.2139863278,387262.0945957057,397672.2978084935,411986.76282842504
2026-10-09 03:05:08.571428571,Balanced,358132.2024417145,377028.16303490463,387830.42545228906,398071.26934030745,413042.2492083731
2026-10-10 13:52:00.000000000,Balanced,358519.0340627915,377313.24455147557,388250.4087024115,398561.1819220975,413881.2519416097
