portfolio_id,model,rmse,r2,cv_mse,selected_by_cv,parameters,train_end,last_train_label,test_start,test_end,test_rows
Balanced,Linear regression,0.043156311592931124,-0.0876859860008441,0.01265220862525279,False,{},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Balanced,Ridge,0.041783099531341995,-0.01956800799947267,0.006435999680232653,True,{'model__alpha': 100.0},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Balanced,Lasso,0.04179853731520195,-0.020321555651699574,0.011992141236917983,False,{'model__alpha': 0.001},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Balanced,ElasticNet,0.04205347996062791,-0.03280604824283517,0.012139384929007775,False,"{'model__alpha': 0.001, 'model__l1_ratio': 0.75}",2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Balanced,Persistence baseline,0.04981265797611043,-0.44908654833783257,,False,Trailing 20-day volatility,2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Growth,Linear regression,0.09986104096446914,-0.05757039000100228,0.009000086630037717,False,{},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Growth,Ridge,0.09926449019442916,-0.04497268416725464,0.00815626985373782,True,{'model__alpha': 100.0},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Growth,Lasso,0.09970640656319511,-0.05429763929683196,0.008880896815660622,False,{'model__alpha': 0.001},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Growth,ElasticNet,0.0997413131433529,-0.055035974342397154,0.0089058651725074,False,"{'model__alpha': 0.001, 'model__l1_ratio': 0.75}",2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Growth,Persistence baseline,0.13136458735241743,-0.8300953476264081,,False,Trailing 20-day volatility,2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Income,Linear regression,0.0357794240749615,-0.3828945256170364,0.030928094111284783,False,{},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Income,Ridge,0.03511807782131252,-0.33224420523896625,0.014422392203833234,True,{'model__alpha': 100.0},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Income,Lasso,0.03520522322174313,-0.3388643286366735,0.030336953695323535,False,{'model__alpha': 0.001},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Income,ElasticNet,0.035290896298783986,-0.3453885989022456,0.03046461804188848,False,"{'model__alpha': 0.001, 'model__l1_ratio': 0.75}",2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Income,Persistence baseline,0.0311612466534768,-0.04894330180336559,,False,Trailing 20-day volatility,2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Low volatility,Linear regression,0.037044702795494225,-0.2102361787765863,0.01921245783805742,False,{},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Low volatility,Ridge,0.03602577797653182,-0.14457600805119597,0.009282638342644013,True,{'model__alpha': 100.0},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Low volatility,Lasso,0.03600492770698287,-0.14325152243793782,0.01873582769851572,False,{'model__alpha': 0.001},2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Low volatility,ElasticNet,0.03615649039620363,-0.15289681185556536,0.018838412855063765,False,"{'model__alpha': 0.001, 'model__l1_ratio': 0.75}",2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
Low volatility,Persistence baseline,0.03979282317121993,-0.3964564809191433,,False,Trailing 20-day volatility,2025-01-02,2025-01-30,2025-01-31,2026-07-31,377
