experiment,portfolio_id,block_days,circular,paths,seed,terminal_p05,terminal_median,probability_terminal_loss
Published model,Balanced,20,False,5000,42,131664.5530826791,235937.75580824324,0.0072
Published model,Benchmark,20,False,5000,42,106181.845787906,213678.41303800244,0.0392
Published model,Growth,20,False,5000,42,114707.84337750234,329002.42717048747,0.0308
Published model,Income,20,False,5000,42,119698.00880714881,211348.94278457965,0.0156
Published model,Low volatility,20,False,5000,42,129046.3994930602,222659.60990030115,0.0084
126-session moving blocks,Balanced,126,False,5000,42,140103.9838488757,217691.41426579334,0.003
126-session moving blocks,Benchmark,126,False,5000,42,120790.91997612827,198758.34823258215,0.0152
126-session moving blocks,Growth,126,False,5000,42,90881.5670216674,283667.478884828,0.0622
126-session moving blocks,Income,126,False,5000,42,123989.45740817596,202547.62959932798,0.0112
126-session moving blocks,Low volatility,126,False,5000,42,136793.25980964315,207476.58544197015,0.0036
252-session moving blocks,Balanced,252,False,5000,42,139162.94136589262,211997.11939573655,0.0018
252-session moving blocks,Benchmark,252,False,5000,42,119393.14513400401,194349.31900388928,0.0122
252-session moving blocks,Growth,252,False,5000,42,91528.03409340252,283125.77037831454,0.0644
252-session moving blocks,Income,252,False,5000,42,115143.27408614306,193218.29909824632,0.0172
252-session moving blocks,Low volatility,252,False,5000,42,132587.50588820595,198950.73355289834,0.002
126-session circular blocks,Balanced,126,True,5000,42,152113.5168454351,244540.41221794448,0.0018
126-session circular blocks,Benchmark,126,True,5000,42,130674.09588853421,214140.97457245685,0.0084
126-session circular blocks,Growth,126,True,5000,42,111726.65172229902,360857.0407129572,0.036
126-session circular blocks,Income,126,True,5000,42,130684.78770472019,212058.21144125663,0.0078
126-session circular blocks,Low volatility,126,True,5000,42,147647.93290573178,227208.54174363462,0.0018
252-session circular blocks,Balanced,252,True,5000,42,152583.746830275,241208.78284651163,0.0004
252-session circular blocks,Benchmark,252,True,5000,42,130039.0468653053,212149.3985894483,0.0066
252-session circular blocks,Growth,252,True,5000,42,106308.34272928152,358140.5762658633,0.0408
252-session circular blocks,Income,252,True,5000,42,124425.97956215512,210147.25119619793,0.0098
252-session circular blocks,Low volatility,252,True,5000,42,144277.52871069234,224122.00934307923,0.0008
